original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G0500170,722356,Greenville_Municipal,44.913795,-88.641293,44.48,-88.13,36.009841972899856
G0500190,723415,Memorial_Fld,44.913795,-88.641293,44.48,-88.13,41.806459743579744
G0500210,723406,Walnut_Ridge_Awos,44.913795,-88.641293,44.48,-88.13,55.94062555234527
G0500230,723448,Batesville_Awos,44.913795,-88.641293,44.48,-88.13,42.720238835134715
G0500250,723417,Pine_Bluff_Faa_Ap,44.913795,-88.641293,44.48,-88.13,34.29496402809111
G0500270,723419,El_Dorado_Goodwin_Field,44.913795,-88.641293,44.48,-88.13,39.99170964200495
G0500290,723405,Little_Rock_Afb,44.913795,-88.641293,44.48,-88.13,60.15105578084569
G0500310,723407,Jonesboro_Muni,44.913795,-88.641293,44.48,-88.13,1.8373866216269277
G0500330,723440,Fort_Smith_Regional_Ap,44.913795,-88.641293,44.48,-88.13,20.12032430300329
G0500350,723340,Memphis_International_Ap,44.913795,-88.641293,44.48,-88.13,24.668177203736462
G0500370,723407,Jonesboro_Muni,44.913795,-88.641293,44.48,-88.13,65.19223319690171
G0500390,723417,Pine_Bluff_Faa_Ap,44.913795,-88.641293,44.48,-88.13,64.41923395975085
G0500410,722356,Greenville_Municipal,44.913795,-88.641293,44.48,-88.13,52.057161027336555
G0500430,723417,Pine_Bluff_Faa_Ap,44.913795,-88.641293,44.48,-88.13,61.88520101178208
G0500450,723405,Little_Rock_Afb,44.913795,-88.641293,44.48,-88.13,31.052173239681466
G0500470,723440,Fort_Smith_Regional_Ap,44.913795,-88.641293,44.48,-88.13,45.79615866670197
G0500490,723447,Flippin_Awos,44.913795,-88.641293,44.48,-88.13,63.74789999275894
G0500510,723415,Memorial_Fld,44.913795,-88.641293,44.48,-88.13,4.316780645053552
G0500530,723403,Little_Rock_Adams_Field,44.913795,-88.641293,44.48,-88.13,51.81273098632849
G0500550,723407,Jonesboro_Muni,44.913795,-88.641293,44.48,-88.13,29.36007509185779
G0500570,723418,Texarkana_Webb_Field,44.913795,-88.641293,44.48,-88.13,44.58593767903899
G0500590,723415,Memorial_Fld,44.913795,-88.641293,44.48,-88.13,22.875747011366734
G0500610,723418,Texarkana_Webb_Field,44.913795,-88.641293,44.48,-88.13,59.886843639979126
G0500630,723448,Batesville_Awos,44.913795,-88.641293,44.48,-88.13,4.421143469275417
G0500650,723448,Batesville_Awos,44.913795,-88.641293,44.48,-88.13,49.25152793232268
G0500670,723448,Batesville_Awos,44.913795,-88.641293,44.48,-88.13,38.440807454321515
G0500690,723417,Pine_Bluff_Faa_Ap,44.913795,-88.641293,44.48,-88.13,12.427915386609882
G0500710,723440,Fort_Smith_Regional_Ap,44.913795,-88.641293,44.48,-88.13,82.690822893422
G0500730,723418,Texarkana_Webb_Field,44.913795,-88.641293,44.48,-88.13,44.894663827285235
